"sentence1","sentence2","sentence3"
"Meroslovje ali s tujko metrologija je znanstvena in tehniška veda o merjenju.","Meroslovje ali tuja meroslovje je znanstvena in tehnična znanost o merjenju.","Meroslovje ali tuja meroslovje je znanstvena in tehnična znanost merjenja."
"Vzpostavlja enotno razumevanje merskih enot, kar ima ključno vlogo pri povezovanju človekovih dejavnosti.","Vzpostavlja skupno razumevanje merskih enot, ki igra ključno vlogo pri vključevanju človekovih dejavnosti.","Ustvarja skupno razumevanje merskih enot, ki imajo ključno vlogo pri vključevanju človekovih dejavnosti."
"Sodobno meroslovje ima svoje korenine v političnih motivih francoske revolucije za standardizacijo enot v Franciji, ko je bil predlagan standard dolžine, vzet iz naravnega vira.","Sodobna meroslovje ima svoje korenine v političnih motivih francoske revolucije za standardizacijo enot v Franciji, ko je bil predlagani standard dolžine odvzet iz naravnega vira.","Sodobna meroslovje ima svoje korenine v političnih motivih francoske revolucije za standardizacijo enot v Franciji, ko je predlagani standard dolžine prišel iz naravnega vira."
"To je leta 1795 privedlo do oblikovanja metričnega sistema, ki temelji na decimalnem zapisu, in je vzpostavilo nabor standardov za druge vrste meritev.","To je leta 1795 privedlo do oblikovanja metričnega sistema na podlagi decimalne oblike in vzpostavilo niz standardov za druge vrste meritev.","To je privedlo do oblikovanja metričnega sistema na podlagi decimalne oblike leta 1795 in vzpostavilo niz standardov za druge vrste meritev."
"Več drugih držav je sprejelo metrični sistem med letoma 1795 in 1875; za zagotovitev skladnosti med državami je bil z Metrsko konvencijo ustanovljen Mednarodni urad za uteži in mere (BIPM).","Več drugih držav je med letoma 1795 in 1875 sprejelo metrični sistem; Za zagotovitev skladnosti med državami je Mednarodni urad za uteži in dimenzije (BIPM) ustanovljen z Met konvencijo.","Več drugih držav je uvedlo metrični sistem med letoma 1795 in 1875; Da bi zagotovili skladnost med državami, je bil Mednarodni urad za ukrepe in ukrepe (BIPM) ustanovljen z Met konvencijo."
"Iz te ureditve se je razvil mednarodni sistem enot (SI) kot rezultat resolucije na 11.","Ta ureditev je razvila mednarodni sistem enot (SI) kot rezultat resolucije na 11.","V okviru tega sporazuma je bil razvit mednarodni sistem enot (SI) zaradi resolucije 11."
"Generalni konferenci za uteži in mere (CGPM) leta 1960.","Generalna konferenca o uteži in dimenzijah (CGPM) leta 1960.","Generalna konferenca o uteži in ukrepih (CGPM) leta 1960."
"Meroslovje je razdeljeno na tri osnovne prekrivajoče se dejavnosti:  opredelitev merskih enot; praktična realizacija teh merskih enot; sledljivost-povezovanje meritev, izvedenih v praksi, z referenčnimi standardi.","Meroslovje je razdeljeno na tri osnovne dejavnosti prekrivanja: opredelitev merskih enot; praktično utrditev teh merskih enot; sledljivosti, ki se izvajajo v praksi z referenčnimi standardi.","Meroslovje je razdeljeno na tri osnovne dejavnosti prekrivanja: opredelitev merskih enot; praktično izvajanje teh merskih enot; Meritve povezave z sledljivostjo, opravljene v praksi z uporabo referenčnih standardov."
"Te prekrivajoče se dejavnosti v različni meri uporabljajo tri osnovna podpodročja meroslovja:  znanstveno ali temeljno meroslovje, ki se ukvarja z določitvijo merskih enot; uporabno, tehnično ali industrijsko meroslovje-uporaba meritev v proizvodnih in drugih procesih v družbi; zakonsko meroslovje, ki zajema predpise in zakonske zahteve za merilne instrumente in merilne metode.","Te prekrivajoče se dejavnosti uporabljajo za različnih meroslovnih točk: znanstveno ali temeljno meroslovje, ki obravnava določitev merskih enot; uporabna, tehnična ali industrijska meroslovna uporaba meritev v proizvodnji in drugih procesih v družbi; pravno meroslovje, ki zajema pravila in pravne zahteve za merilne instrumente in metode merjenja.","Te dejavnosti, ki se prekrivajo, uporabljajo različne meroslovne točke: znanstveno ali temeljno meroslovje, ki obravnava določitev merskih enot; uporabno, tehnično ali industrijsko meroslovno uporabo meritev v proizvodnji in drugih procesih v družbi; Pravna meroslovja, ki vključuje pravila in pravne zahteve za merilne instrumente in metode merjenja."
"V vsaki državi obstaja nacionalni merilni sistem (NMS) kot mreža laboratorijev, kalibracijskih zmogljivosti in akreditacijskih organov, ki izvajajo in vzdržujejo njeno meroslovno infrastrukturo.","V vsaki državi obstaja nacionalni merilni sistem (NMS) kot mreža laboratorijev, kalibracijskih objektov in akreditacijskih organov, ki izvajajo in vzdržujejo svojo meroslovno infrastrukturo.","V vsaki državi obstaja nacionalni sistem merjenja (NMS) kot mreža laboratorijev, kalibracijskih objektov in akreditacijskih organov, ki izvajajo in vzdržujejo svojo meroslovno infrastrukturo."
