sentence1;setnence1;setnence2;setnence3
 Ko sem ležal v VI bolnišnici, sem bil pred veliko luknjo mojega življenja.; Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.; Ko sem ležal v veteranski bolnišnici z veliko praznino v svojem življenju, sem začel sanjati o letenju.
 Začel sem sanjati, kako letim.; Ko sem ležal v veteranski bolnišnici z veliko praznino v svojem življenju, sem začel sanjati o letenju.; Zaljubil sem se.; Marinec sem bil.
 Bil sem svoboden.; Bil sem svoboden.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.; Marinec sem bil.
 Prej ali slej, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.; Toda prej ali slej se je treba zbuditi.; Zdaj pa je čas, da se vrneš.
 V kriogenski komori ne sanjaš ničesar.; V kriospanju sploh ne sanjaš.; Še nocoj se vrneš na Zemljo.; Nisi vajen svojega avatarja.
 Ne občutiš, da je minilo šest let.; Ne zdi se kot šest let.; Toda prej ali slej se moraš zbuditi.; Kot otrok si. Hrup delaš, ne veš, kaj bi.
 Podobno je, kot da bi se napil tekile.; Težko je napolniti čašo, ki je že polna.; Opominja me na to, kaj je tam zunaj.; Ali nekaj takega.
 Tommy je bil znanstvenik, ne pa jaz.; Tommy je bil znanstvenik, ne jaz.; Ja, Tommy je bil znanstvenik.; Ampak to je bila le teorija.
 On je bil ta, ki je hotel potovati svetlobna leta daleč, da bi našel odgovore.; On je hotel potovati v vesolje in najti odgovore.; Vedela je, da govorim s polkovnikom.; Tista drevesa so bila za Omaticaye sveta.
 Smo že prispeli?; Smo že tam?; Kako bodo vedeli, da smo tu?; Je uspelo?
 Ja, tukaj smo, sonček.; Smo, sonček.; V redu, grem.; Tam smo.
 Za tvojega brata gre.; Sedi, za tvojo varnost gre.; Za vašega brata gre.; Močno srce imaš.
 Teden dni, preden bi Tommy moral na ladjo je tip s pištolo končal njegovo potovanje.; Teden dni pred odhodom je Tommyja nekdo ustavil zaradi papirja v denarnici.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.
 Zaradi papirja v njegovi denarnici.; Ker dvojček sploh obstaja in ker ni ustni higienik.; Torej … To je moje ležišče. –Ogabno.; Jezdec zadnje sence.
 V krio komori ste bili pet let, devet mesecev in 22 dni.; V kriu ste bili 5 let, 9 mesecev in 22 dni.; Niste več v Kansasu.; Na Pandori ste, gospe in gospodje.
 Lačni boste in slabotni.; Lačni in šibki boste.; Strelci, glejte na vse strani.; Tega nočete imeti na vesti, verjemite.
 Če vam bo slabo...; Uničite jih!; Razstrelite jo!; Gremo, hitro!
 Tommy je bil znanstvenik.; Ja, Tommy je bil znanstvenik.; Marinec sem bil.; Tommy je bil znanstvenik, ne jaz.
 Jaz sem samo še en bedak, ki gre nekam, kjer bo to obžaloval.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.; Karkoli sem že naredil, mi je žal.; Po mojem si ti izdajalci ne zaslužijo zrezka.
 Pred nami je Pandora.; Pred nami je bila Pandora.; Premikamo se.; Imamo prvo ujemanje.
 Ko sem odraščal, sem slišal o njej.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Če sem kot otrok, bi me morala podučiti.; Obožujem to palico. Obožujem to palico.
