sentence1;sentence2;accuracy;fluency;diversity
V zgodovini nisem ravno dober, Kasij, toda a ne bi morali barbari izgubiti bitko pri Kartagini?;Zgodovina ni ravno moja močna točka, Kasij, ampak kaj ne bi morali barbari izgubiti bitko pri Kartagini?;5;3;3
-Da, Jaz sem ga našel.;-Ja, našel sem ga.;5;3;5
Brez zamere, v redu?;Saj ni zamere, ne?;4;4;4
Nikakor nočeš umreti.;Preprosto nočeš umreti.;4;4;3
Jaz mislim, da je.;Jaz mislim, da drži.;5;3;2
Ničesar, kar bi ga izpostavilo snu.;Ničesar, kar bi ga izpostavilo spancu.;5;3;1
-Zato mi Arthur stalno tolmači da ni možna.;-Zato mi Arthur vedno tolmači da ni mogoča.;3;3;2
Nekaj bi vas vprašala.;Naj vas nekaj vprašam.;4;4;2
Pokrij rano.;Zakrij rano.;5;4;2
To bo svež začetek na novem svetu.;To bi bil nov začetek na novem svetu.;3;4;3
Pojdi spančkat, gospod Eames.;Pojdi spat, gospod Eames.;5;3;2
-Prekleto, zakaj potlej ni?;-Prekleto, zakaj potem ni?;5;4;2
Ljudje, kaj je tukaj narobe?;Ljudje, kaj tu manjka?;3;4;3
Nisem tukaj, da bi ubil Leaddisa.;Tu nisem, da bi ubil Leaddisa.;5;4;3
Ja, poglej moje naprave.;Poglej moje instrumente.;4;4;4
Marshal, ali imate migreno?;Šerif, imate migreno?;3;4;4
Ne bom dovolil nove diktature!;Ne bom dopustil novega diktatorstva!;4;4;2
Otrokoma sem obrnil hrbet in od takrat se stalno trudim pridobiti pot nazaj.;Otrokoma sem obrnil hrbet in od takrat, se vedno trudim pridobiti pot nazaj.;5;4;1
Drhal to vidi, pa tudi senat.;Drhal vidi to, pa tudi senat.;5;4;1
Kaj bo torej naš naslednji korak?;Kaj bo najin naslednji korak?;3;4;4
Moramo premestiti njegovo mržnjo z njegovega očeta na njegovega botra.;Premestiti moramo njegovo sovraštvo z njegovega očeta na njegovega botra.;5;5;3
Trdila je, da otroci niso mrtvi.;Vztrajala je, da otroci niso mrtvi.;4;4;3
Tudi to je lahko vrlina, če nas žene k odličnosti.;To je tudi lahko vrlina, če nas žene do odličnosti.;5;5;1
Najprej jih bom izgnal s plinom.;Najprej jih bom pregnal s plinom.;4;5;2
Glede tebe pa...;Kar pa se tiče tebe ...;5;4;5
Pomirite se ljudje, pomirite!;Pomirite se!;4;5;4
Je bil doktor prisoten?;Je bil dr. Sheehan tistega večera prisoten?;3;4;5
In še vedno mu.;Še vedno mu.;4;5;3
Po vseh lažeh, ki si jih izrekel?;Po vseh tvojih lažeh?;4;4;5
Na'vi pravijo, da se vsak rodi dvakrat.;Na'vi pravijo, da se človek rodi dvakrat.;5;4;4
To je pa res prekleto smešno.;To je prekleto smešno.;4;5;3
Kaj pa, če ne bodo hoteli proč?;In če ne bodo hoteli iti?;5;5;4
Oprostite, veličanstvo.;Oprostite, visočanstvo.;4;5;3
Ne vem več, kdo sploh sem.;Ne vem več, kdo sem.;4;5;2
In ko bo kombi trčil v branik na mostu, bo to več kot očitno.;In ko bo kombi trčil v pregrado na mostu, bo to več kot očitno.;5;4;2
To bi vedel, če bi imel vsaj malo treninga.;Če bi bil na pripravah, bi to vedel.;3;5;5
Tu je kopija vašega sprejemnega lista.;Tu je kopija vašega sprejemnega obrazca.;4;4;3
Mi... pojma nimamo, kako je prišla tja.;Ne vemo, kako je prišla ven.;2;2;4
Prijatelja sem imel.;Imel sem prijatelja.;5;5;5
Prvič, odkar so zaprli njeno šolo.;Prvič, odkar so njeno šolo zaprli.;5;4;2
Še pacientov?;Še več pacientov?;5;5;3
Menila sem, da me morda pogrešaš.;Mislila sem, da me morda pogrešaš.;4;4;2
Tam spodaj se dogaja nekaj biološko izjemno zanimivega.;Tam se dogaja nekaj biološko zelo zanimivega.;4;4;3
-Oh... ali res?;-Kaj res?;3;2;3
Blagoslovljeni oče, bdi nad ženo in sinom s pripravljenim mečem.;Blagoslovljeni oče, bdi nad mojo ženo in sinom s pripravljenim mečem.;4;5;2
Samo projekcije so.;Samo predstavitve so.;4;4;3
Bolj kot spreminjaš stvari, hitreje se jim projekcije zbližajo.;Bolj kot spreminjaš stvari, hitreje se jim predstavitve zbližajo.;4;4;2
Iskreno, če bi sam odločal o tem, bi vklenil tudi vseh 42 pacientov z oddelka A in B. Oprostite mi!;Če bi jaz odločal, bi vklenil tudi vseh 42 pacientov iz oddelkov A in B. Oprostite.;5;5;5
Nekoč smo to že verjeli.;Nekoč smo že verjeli tako.;5;4;4
Bogate gospe plačajo precej, da pridejo k največjim borcem.;Bogate gospe precej plačajo, da pridejo k največjim borcem.;4;4;2
Ja, tukaj smo, sonček.;Smo, sonček.;2;3;4
Morate oditi, drugače boste vsi umrli.;Oditi morate, drugače boste umrli.;3;4;4
Potem jih je prinesla nazaj noter in jih posadila za kuhinjsko mizo.;Nato jih je nesla v hišo in jih posadila za mizo.;3;4;4
Če vaju ne bo nazaj do trzaja, grem z ali brez vaju.;Če vaju ne bo nazaj do trzaja, grem z vama ali brez.;5;4;3
Pred dvema tednoma ste napadli Georga Noyca.;Pred dvema tednoma ste napadli Noycea.;4;4;3
Veste s kakšnimi Ijudmi imam opravka vsak dan?;Veste, s kakšnimi ljudmi se vsak dan srečujem?;5;4;4
Poslušaj mojo teorijo, Andrew.;Moja teorija je taka, Andrew.;5;4;4
-Čim pridemo v hotel in se približamo Fischerju, nas bo njegovo varovanje obkolilo.;Takoj, ko pridemo v hotel in se približamo Fischerju, nas bodo njegovi varnostniki obkolili.;5;4;5
V planinah Aleluja?;V gorovju Aleluja?;4;3;4
Kaj je tam noter?;Kaj je tam?;2;3;3
Je Senat z vami?;Senat drži z vami?;5;4;4
Aja, naj izrazimo vašo skrb neposredno Mauricu?;Ali naj izrazimo vašo skrb neposredno Mauricu?;4;3;3
Gospa je opravila.;Gospa je opravila svoje.;3;2;2
