;sentence1;sentence2;accuracy;fluency;diversity
0;V zgodovini nisem ravno dober, Kasij, toda a ne bi morali barbari izgubiti bitko pri Kartagini?;Zgodovina ni ravno moja močna točka, Kasij, ampak kaj ne bi morali barbari izgubiti bitko pri Kartagini?;5;4;4
1;-Da, Jaz sem ga našel.;-Ja, našel sem ga.;5;5;3
2;Brez zamere, v redu?;Saj ni zamere, ne?;5;4;4
3;Nikakor nočeš umreti.;Preprosto nočeš umreti.;4;5;3
4;Jaz mislim, da je.;Jaz mislim, da drži.;3;4;3
5;Ničesar, kar bi ga izpostavilo snu.;Ničesar, kar bi ga izpostavilo spancu.;5;5;2
6;-Zato mi Arthur stalno tolmači da ni možna.;-Zato mi Arthur vedno tolmači da ni mogoča.;5;5;1
7;Nekaj bi vas vprašala.;Naj vas nekaj vprašam.;5;5;3
8;Pokrij rano.;Zakrij rano.;3;5;2
9;To bo svež začetek na novem svetu.;To bi bil nov začetek na novem svetu.;3;5;2
10;Pojdi spančkat, gospod Eames.;Pojdi spat, gospod Eames.;3;5;2
11;-Prekleto, zakaj potlej ni?;-Prekleto, zakaj potem ni?;5;5;1
12;Ljudje, kaj je tukaj narobe?;Ljudje, kaj tu manjka?;2;3;3
13;Nisem tukaj, da bi ubil Leaddisa.;Tu nisem, da bi ubil Leaddisa.;5;5;2
14;Ja, poglej moje naprave.;Poglej moje instrumente.;2;4;4
15;Marshal, ali imate migreno?;Šerif, imate migreno?;1;5;4
16;Ne bom dovolil nove diktature!;Ne bom dopustil novega diktatorstva!;4;2;3
17;Otrokoma sem obrnil hrbet in od takrat se stalno trudim pridobiti pot nazaj.;Otrokoma sem obrnil hrbet in od takrat, se vedno trudim pridobiti pot nazaj.;5;2;1
18;Drhal to vidi, pa tudi senat.;Drhal vidi to, pa tudi senat.;3;4;2
19;Kaj bo torej naš naslednji korak?;Kaj bo najin naslednji korak?;4;4;2
20;Moramo premestiti njegovo mržnjo z njegovega očeta na njegovega botra.;Premestiti moramo njegovo sovraštvo z njegovega očeta na njegovega botra.;5;2;3
21;Trdila je, da otroci niso mrtvi.;Vztrajala je, da otroci niso mrtvi.;5;5;2
22;Tudi to je lahko vrlina, če nas žene k odličnosti.;To je tudi lahko vrlina, če nas žene do odličnosti.;3;5;3
23;Najprej jih bom izgnal s plinom.;Najprej jih bom pregnal s plinom.;5;5;2
24;Glede tebe pa...;Kar pa se tiče tebe ...;5;5;4
25;Pomirite se ljudje, pomirite!;Pomirite se!;2;5;2
26;Je bil doktor prisoten?;Je bil dr. Sheehan tistega večera prisoten?;1;5;4
27;In še vedno mu.;Še vedno mu.;5;5;1
28;Po vseh lažeh, ki si jih izrekel?;Po vseh tvojih lažeh?;5;5;4
