Hej!;Hej!;Hej!;Hej?
Pridi sem!;Pridi sem!;Pridi.;Pridi.
-Prihajam.;-Prihajam.;-Točno tako.;-Tako je.
Haluciniral je ... je pa omenil vaše ime.;Haluciniral je... Je pa omenil vaše ime.;Je rekel, da ste to že počel.;Gotovo vas je dala na čevelj razen, če ima njena telefonska res le 6 številk.
Pokaži mu.;Pokaži mu.;Objasni jim ga.;Prevrni ga.
Pri sebi je imel tole ... In pa to.;Pri sebi je imel tole... In to.;Povlekel me je bližje... In razbral sem lahko le eno...;A se je potrudil, da mi je rekel še poslednjo stvar.
Si me prišel ubit?;Si me prišel ubit?;Si prišel sem, da bi me ubil?;Me slišiš?
Vem, kaj je ta stvar.;Vem, kaj je to.;Vem, kaj je resnično, Mal.;To nima veze z mano.
Videl sem jo že.;Videl sem jo že.;Vem, kje jo najdem.;Veš kako me najti.
Pred mnogo, mnogo leti.;Pred mnogo, mnogo leti.;Kakšnih 50 let.;Morda po mamini smrti.
Pripadala je človeku, ki sem ga spoznal v bežno pomnjenem snu.;Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.;Tako mi je onemogočila, da bi pojasnil naravo njene norosti.;Nisem pa vedel, da se bo ideja v njenem umu razbohotila kakor rak, tudi, ko se bo prebudila.
Človeku, ki je obvladoval nekatera radikalna dojemanja.;Človeku, ki je obvladoval nekatera radikalna dojemanja.;Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.;Zaradi potrebe po nekom, ki bo razumel s čem se boriš.
Kateri je najbolj odporen parazit?;Kateri je najbolj odporen parazit?;Kdo je ta vir?;Kako dolgo lahko tičimo tam?
Bakterija?;Bakterija?;Trakulja?;Virus?
Virus?;Virus?;Bakterija?;Limbo?
Trakulja?;Trakulja?;Bakterija?;Umira?
Gospod Cobb skuša povedati ... -Ideja.;Gospod Cobb skuša povedati... -Ideja.;Ime mi je... -Vem kdo si.;Prihaja gospod Charles.
Prilagodljiva je.;Prilagodljiva je.;Zares je očarljiva.;Zato je militarizirana.
Zelo kužna.;Zelo kužna.;Zelo nalezljiva.;Samo presneto težka.
Ko ideja zavzame možgane, jo je skoraj nemogoče zatreti.;Ko ideja zavzame možgane, jo je skoraj nemogoče zatreti.;Najti moramo način, da idejo pretvorimo v emocionalni koncept.;Morate se osredotočiti in se poskusiti spomniti kaj to je.
Popolnoma izoblikovana, docela razumljena ideja, ostane.;Popolnoma izoblikovana, popolnoma razumljiva ideja, ostane.;Utegne delovati.;Že najmanjše seme ideje lahko vzklije.
Nekje tu notri.;Nekje tu notri.;Tukaj.;Za tabo.
-Da jo nekdo tebi podoben ukrade?;-Da jo nekdo kot ti ne ukrade?;-Me zato rabiš za gradnjo svojih sanj?;-Mi ne bi prej kaj povedal o tem?
Ja.;Ja.;Ja.;Ja.
V stanju sanjanja je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo.;V stanju sanjanja, je vaša obramba zavesti oslabljena, kar vaše misli dela ranljive za krajo.;Zmes, ki bo rabljena za delitev sanj ustvari zelo jasno vez med sanjajočim, za povrh pa še pospešuje možganske funkcije.;Delovanje možganov v sanjah bo približno 20 krat večje od normalnega.
Temu se reče »izvlek«.;"Temu se reče ""izvlek"".";Tak je eden od načina izvlačenja informacij iz predmeta.;Kar še ne pomeni, da ne poznaš kombinacije.
G. Saito, lahko izurimo vašo podzavest, da se obrani celo najbolj veščega izvlačitelja.;G. Saito, lahko izurimo vašo podzavest, da se ubrani celo najbolj veščega izvlačitelja.;Dejansko ste bil izurjen za tole, g. Fischer.;Pri takšnem poslu ni prostora za turiste, gospod Saito.
