Vem, kaj je ta stvar.;Vem, kaj je to.
Pripadala je človeku, ki sem ga spoznal v bežno pomnjenem snu.;Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.
Popolnoma izoblikovana, docela razumljena ideja, ostane.;Popolnoma izoblikovana, popolnoma razumljiva ideja, ostane.
-Da jo nekdo tebi podoben ukrade?;-Da jo nekdo kot ti ne ukrade?
G. Saito, lahko izurimo vašo podzavest, da se obrani celo najbolj veščega izvlačitelja.;G. Saito, lahko izurimo vašo podzavest, da se ubrani celo najbolj veščega izvlačitelja.
Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.;Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.
"Takole je; če želite mojo pomoč, se mi morate povsem odpreti.";Tako je, če želite mojo pomoč, se mi morate povsem odpreti.
Menila sem, da me morda pogrešaš.;Mislila sem, da me morda pogrešaš.
Povej mi ... me otroka pogrešata?;Me otroka pogrešata?
Da si me prišel okrast, ali, da pravzaprav spimo?;Da si me prišel oropati, ali, da pravzaprav spimo?
Ampak, sanje so se sfižile.;Ampak, sanje so se zmešale.
Saita skušam še malce zadržati v snu.;Saita skušam še malce zadržati v spanju.
Onesvestil se je.;Izdal je.
-Ona ne bi nikdar ... Evo, pa smo tu.;-Ona ne bi nikdar... No, pa smo tu.
Vprašanje je, čemu ste nam sploh dopustili?;Vprašanje je, zakaj ste nam sploh dopustili?
Zato me pustite na miru.;Zato me pustite pri miru.
Zgleda, da ne razumete, gospod Saito.;Izgleda, da ne razumete, gospod Saito.
Zgleda, da bom moral opraviti nekoliko preprosteje.;Izgleda, da bom moral opraviti nekoliko preprosteje.
Nisem vedel, da bo drgnil svoj frdamani fris obnjo.;Nisem vedel, da bo drgnil svojo prekleto glavo ob njo.
Ej ti,kaj je bil to za en vrag?;Ej ti, kaj je bil to za en vrag?
Ne bi rad videl kako zgleda brez nadzora.;Nočem videti kako izgleda brez nadzora.
Kaj počneta, a?;Kaj počneta?
Lej, povedal sem ti.;Poglej, povedal sem ti.
Ni me, ker delam, ja?;Ni me, ker delam, v redu?
Zadosti, otroka.;Dovolj, otroka.
A si dobro?;Si dobro?
Blokada v sajah, pojavi se je Mal ...;Blokada v sajah, Mal se je pojavil...
Žal mi je zaradi tvoje noge.;Žal mi je zaradi tvoje noge, ne bo se ponovilo.
-Ti opravičilo ni zadosti, Arthur?;-Ti opravičilo ni dovolj, Arthur?
Je možna?;Je mogoča?
Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vsadil?;Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vstavil?
"Takole; v glavo vam sadim idejo, rečem vam: »Ne mislite na slone«.";Takole, v glavo vam dajem idejo, rečem vam: »Ne mislite na slone«.
Prave inspiracije ni možno poneveriti.;Pravega navdiha ni možno poneveriti.
-Zadosti preprosta.;-Dovolj preprosta.
