sentence1;sentence2
 Ko sem ležal v VI bolnišnici, sem bil pred veliko luknjo mojega življenja.; Ko sem ležal v veteranski bolnišnici z veliko praznino v svojem življenju, sem začel sanjati o letenju.
 Začel sem sanjati, kako letim.; Ko sem ležal v veteranski bolnišnici z veliko praznino v svojem življenju, sem začel sanjati o letenju.
 Prej ali slej, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.
 V kriogenski komori ne sanjaš ničesar.; V kriospanju sploh ne sanjaš.
 Ne občutiš, da je minilo šest let.; Ne zdi se kot šest let.
 Tommy je bil znanstvenik, ne pa jaz.; Tommy je bil znanstvenik, ne jaz.
 On je bil ta, ki je hotel potovati svetlobna leta daleč, da bi našel odgovore.; On je hotel potovati v vesolje in najti odgovore.
 Smo že prispeli?; Smo že tam?
 Ja, tukaj smo, sonček.; Smo, sonček.
 Za tvojega brata gre.; Za vašega brata gre.
 Teden dni, preden bi Tommy moral na ladjo je tip s pištolo končal njegovo potovanje.; Teden dni pred odhodom je Tommyja nekdo ustavil zaradi papirja v denarnici.
 V krio komori ste bili pet let, devet mesecev in 22 dni.; V kriu ste bili 5 let, 9 mesecev in 22 dni.
 Lačni boste in slabotni.; Lačni in šibki boste.
 Tommy je bil znanstvenik.; Ja, Tommy je bil znanstvenik.
 Jaz sem samo še en bedak, ki gre nekam, kjer bo to obžaloval.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Pred nami je Pandora.; Pred nami je bila Pandora.
 Ko sem odraščal, sem slišal o njej.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 Nisem pa si mislil, da bom kdaj šel tja.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.
 S teboj bi se radi dogovorili, da prevzameš njegovo pogodbo.; Ampak če si tu, bi te rad opozoril.
 Ker je tvoj genetski zapis enak kot njegov, lahko stopiš v njegove čevlje.; Ljudstvo ti lahko pomaga.
 To bo svež začetek na novem svetu.; To bi bil nov začetek na novem svetu.
 Tudi plačilo je dobro.; In plačilo je dobro.
 Čez štiri minute boste mrtvi. Naj nihče ne umre danes, to bi izgledalo zelo slabo v mojem poročilu.; Naj danes nihče ne umre. V poročilu ne bi bilo lepo.
 Eno življenje se konča drugo pa se začne.; Eno življenje se konča, drugo začne.
 Ko se spustimo pojdite naravnost v bazo, brez ustavljanja!; Ko se rampa spusti, pojdite naravnost v bazo.
 Morda nisi več zraven, a nikoli ne izgubiš navad.; To ti najbrž ne bo težko.
 Rekel sem si, da bom prestal vsak test, ki ga lahko človek prestane.; Rekel sem si, da lahko opravim vsak test.
 Ampak ne, če jim ne koristite, ne v tem gospodarstvu.; Ampak to se ne bo zgodilo.
 Gremo, posebni primer, ne pusti me čakati.; Gremo, posebni primer. Ne bom te čakal.
 Glej vse to sveže meso.; Poglej to sveže meso.
 Nekoč na Zemlji so to bili vojaki, marinci.; Na Zemlji so bili vojaki in marinci, ki so se bojevali za svobodo.
 Borili so se za svobodo.; Na Zemlji so bili vojaki in marinci, ki so se bojevali za svobodo.
 Tukaj pa so bili samo najemniki, ki so delali za denar, za podjetje.; Tu pa so bili najemniki, ki delajo za denar.
 Človek, to ni prav.; To ni prav.
 Dame in gospodje, ste na Pandori.; Na Pandori ste, gospe in gospodje.
 Če pekel obstaja, si lahko tam privoščite dopust, ko končate na Pandori.; Če obstaja pekel, pojdite tja na dopust po Pandori.
 Tam zunaj za ograjo vas vsako živo bitje, ki hodi, leti, ali se plazi po blatu, želi ubiti in vas požreti.; Za tisto ograjo so plazeča se, leteča in čepeča bitja, ki vas hočejo ubiti in vam požreti oči.
 Imamo tudi inteligentna, humanoidna bitja imenovana Na'vi.; Tu živijo tudi humanoidi, imenovani Na'vi.
 Radi uporabljajo puščice namočene v živčni strup, ki vam v minuti ustavi srce.; Puščice namakajo v strup, ki ti v minuti ustavi srce.
 Kosti imajo okrepljene z naravnimi ogljikovimi steklenimi vlakni.; Kosti imajo ojačane z naravnimi ogljikovimi vlakni.
 Kot vodja varnosti imam nalogo, da vas obdržim žive.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Če hočete preživeti, potrebujete močno voljo.; Če hočete preživeti, morate biti psihično trdni.
 Ubogati morate pravila.; Ubogajte pravila.
 Jake, saj si Jake, ali ne?; Jake, me slišiš?
 Podoben si mu.; Čisto si mu podoben.
 Jaz sem Norm Spellman. Skupaj sva bila na avatar treningu.; Norm Spellman. Skupaj sva bila na avatarskem urjenju.
 Kako kaj gre? Norm, upravitelj avatarja.; Veliko časa bova preživela tu. Zdravo. Kako ste? Norm, upravljavec avatarja.
 Tukaj je soba za povezavo, tukaj se priključiš na avatarja...; To je soba z linki.
 Z Normom bova upravljala ta daljinsko vodena telesa, avatarje.; Z Normom bova upravljala telesa, imenovana avatarji.
 Vzgojili so jih iz človeške DNK pomešane z DNK domorodcev.; Vzgajajo jih iz kombinacije človeške in domorodne DNK.
 Dobrodošla na Pandoro, lepo, da sta tukaj.; Vem, da najbrž ne razumeš, ampak hvala.
 Trajalo bo nekaj ur, da ju pripravimo, ampak jutri ju lahko vzameta ven.; Jutri ju lahko preizkusita.
 Ta je tvoj.; Tamle je tvoj.
 Podoben je bratu.; Podoben mu je.
 Podoben je tebi.; Tebi je podoben.
 Zdaj je to tvoj avatar, Jake.; To je zdaj tvoj avatar, Jake.
 Koncept je tak, da je vsakemu upravljavcu prirejen njegov avatar.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.
 Njun živčni sistem je usklajen.; To je več povezav kot v človeških možganih.
 Ali nekaj podobnega...; Ali nekaj takega.
 Delo so mi ponudili, ker se lahko povežem s Tommyjevim avatarjem.; To delo sem dobil, ker se lahko povežem s Tommyjevim.
 Ta pa je izjemno drag.; Kar je verjetno veliko.
 Je prav tako?; Je to res?
 Ja, v navado nam je prešlo, da vse dokumentiramo.; Ja, dokumentirati moramo, kaj vidimo in čutimo.
 Vse kar vidiš, vse kar čutiš, vse je del znanosti.; Za znanost. –Opazovanje je del znanosti.
 Znanost je samo dobro opazovanje. -Pa še pri pameti te bo ohranilo naslednjih šest let.; Pa še pri pameti te bo ohranilo prihodnjih šest let.
 Saj vseeno.; Saj ti je že.
 Zdaj sem torej tukaj.; Zdaj pa je čas, da se vrneš.
 Ukvarjam se z znanostjo.; Skratka, tu sem in ukvarjam se z znanostjo.
 Kdo ima moje presnete cigarete?; Kdo ima cigareto zame? Ljudje, kaj tu manjka?
 Ljudje, kaj je tukaj narobe?; Kdo ima cigareto zame? Ljudje, kaj tu manjka?
 Grace Augustine je legenda.; Peyral je dobra lovka.
 Ona je vodja avatar programa, napisala je tudi knjigo.; Vodi avatarski program in napisala je knjigo o rastlinstvu na Pandori.
 In to dobesedno, napisala je knjigo o rastlinstvu Pandore.; Vodi avatarski program in napisala je knjigo o rastlinstvu na Pandori.
 To pa zato, ker ima raje rastline kot ljudi.; Ker ima rastline raje kot ljudi.
 Tako, Trnuljčica je zopet med nami.; Eywa te je slišala!
 Dovolite mi, Velika mati, v čast mi je, da sem vas spoznal.; Dovolite mi, da jih prepričam.
 Ni slabo, čeprav je nekoliko grobo.; Zenični refleks je dober.
 Študiral sem pet let, ampak veliko še se moram naučiti.; Pet let se že učim, a se moram še veliko.
 Grace, to je Jake Sully. -Gospa.; Grace? To je Jake Sully. –Gospa.
 Vem, kdo si in ne potrebujem te.; Vem, kdo si. Ne potrebujem tebe, ampak tvojega brata.
 Potrebujem tvojega brata, saj veste, doktorja znanosti, ki je tri leta treniral za to nalogo...; To je zdaj tvoj avatar, Jake.
 Koliko si delal v laboratoriju?; Koliko ur si opravil?
 Nekoč sem seciral žabo.; Se znajdeš v laboratoriju? –Nekoč sem seciral žabo.
 Lulajo na nas pa niso niti toliko vljudni, da bi rekli, da dežuje.; Tako globoko v Vrtincu nas ne morejo izslediti.
 To je navadno sranje.; To ni prav.
 Zbrcala bom njegovo podjetniško rit.; Ogledala si bom tega tujca.
 Nobene pravice nima, da bi vtikal nos v moj oddelek.; Naj se ne vtika v moj oddelek.
 Si videl tole? -Ja, gospod.; Ste videli to? –Da, gospod.
 Ne, pa nisi, gledal si na zaslon. Obožujem to palico, Ronnie.; Obožujem to palico. Obožujem to palico.
 Mislila sem si, da me namerno zapostavljaš, zdaj pa vidim, da me namerno zajebavaš.; Parker. Včasih sem mislila, da me samo ignoriraš, zdaj pa vidim, da me nalašč zafrkavaš.
 Grace, uživam v najinih pogovorih...; Grace, uživam v najinih pogovorih.
 Potrebujem raziskovalca, ne pa nek vročeglav izmeček.; Raziskovalca rabim, ne odsluženega marinca.
 Mislim, da smo z njim imeli še kar srečo.; Mislim, da je čas, da opravimo nalogo.
 Srečo? -Ja.; Srečo? –Ja.
 Na srečo je imel tvoj človek dvojčka in na srečo ta ni kak zobozdravnik.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 Zadnje kar potrebujem je še en bedak s prstom na sprožilcu.; Nočem na silo hraniti kriplja.
 Ti bo morala osvojiti srca in razum domorodcev, ali ni to glavni cilj tvoje lutkovne predstave?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
 Izgledaj kot oni, govori kot oni, pa ti bodo začeli zaupati.; Če bomo izgledali in govorili kot oni, nam bodo zaupali.
 Zgradili smo jim šolo, jih naučili našega jezika, ampak po vseh teh letih se naši odnosi z domačini samo slabšajo.; Zgradili smo jim šolo, učimo jih angleško.
 To se dogaja, če na njih uporabljaš avtomatske puške.; To se zgodi, če proti njim uporabiš strojnice.
 Prav, pridi sem.; Ja. Pridi sem.
 Zato, ker se ta siv kamen prodaja po dvajset milijonov za kilogram.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 To je edini vzrok. To plačuje celotno zabavo.; Samo zato. To plačuje za vse.
 Ti divjaki so ogrozili našo celotno operacijo.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.
 Smo na robu vojne in ti bi morala najti neko diplomatsko rešitev.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.
 Zato uporabi, kar imaš in mi prinesi nek rezultat.; Uporabi, kar imaš, in pokaži rezultate.
 Koliko povezav si opravil?; Koliko ur si opravil?
 Prebral pa sem navodila.; Nobene. Sem pa prebral navodila.
 Nikar, bom že sam.; Ne, bom sam.
 Torej si mislil, da boš kar šel sem, v najbolj sovražno okolje, kar jih človek pozna brez vsakega treninga in poskusil, kako bo šlo?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
 Kaj si imel v glavi?; Kaj ti je šlo po glavi?
 Morda sem imel dovolj zdravnikov, ki so mi govorili, česa vse ne zmorem.; Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.
 Biometrija je v redu. -Povezava je pripravljena.; Biometrika je v redu. –Link 3 je pripravljen.
 Drži roke noter, dlani obrnjene k sebi.; Roke noter, dlani noter, glavo dol.
 Glavo dol.; Glavo dol!
 Sprosti se in pusti, da se ti glava izprazni.; Nadaljuj, umaknil se bo.
 Tebi to ne bi smelo delati težav.; To ti najbrž ne bo težko.
 Zagon programa za enoto tri. -Zaganjam.; Prosim za Eywino pomoč.
 Imam prve podatke.; Dal si mi uporabne podatke.
 Bomo še videli. -Fazna uskladitev 40 procentov.; Link je pripravljen. –Ujemanje 40 %.
 Noter grem. V številki štiri bom.; V redu, grem.
 Fazna uskladitev 99 procentov, povezava je stabilna.; Ujemanje 99 %. Link je stabilen.
 Refleks zenice je v redu.; Zenični refleks je dober.
 Ušesni odziv normalen. Kako se počutiš, Jake?; Slušni odziv normalen. Kako se počutiš, Jake?
 Dobrodošel v svoje novo telo, Jake. -V redu.; V redu.
 Nadaljevali bomo lepo počasi, Jake.; Začeli bomo lepo počasi.
 Ni problema. -Vidim, da se tega še spomniš.; Upal sem, da boš to rekel.
 Če hočeš sesti je to tudi v redu.; Tako se to dela.
 Kar mirno in počasi, Jake. Ni napadov nestabilnosti, to je v redu.; Sovražnik je tam zunaj in zelo močan je.
 Občutiš vrtoglavico ali slabost?; Čutiš kakšno odrevenelost ali bolečino?
 Lepo premikaš prste. -Dobro, Jake.; Dobro, Jake. –Odlično.
 Nadzor premikanja je v redu.; Zenični refleks je dober.
 Občutiš kako odrevenelost ali bolečino?; Čutiš kakšno odrevenelost ali bolečino?
 Kar mirno, nikar naj se ti ne mudi.; Ne igraj se s tem, oslepel boš.
 Opraviti moramo še nekaj testov premikanja in refleksov.; Še nekaj testov motorike moramo opraviti.
 Zato kar počasi.; Začeli bomo lepo počasi.
 Jake, hočem da sedeš. -Je že v redu, dobro mi gre.; Poslušaj me. –Vse je v redu. Saj gre.
 Jake, hočem, da sedeš. -Spravita ga nazaj na ležaj.; Jake, takoj sedi. –Spravita ga nazaj na voziček.
 Tisoč miligramov uspavala, hitro!; Kako je hitro!
 Jake, nisi še navajen svojega avatarskega telesa, to je nevarno.; Nisi vajen svojega avatarja.
 To je krasno. -Daj no, uspavali te bodo.; Jake, poslušaj me. –Daj no. Uspavali te bodo.
 Daj no, nobenih sposobnosti še nimaš.; Dobro, to še znaš.
 Ni se mi treba niti truditi v obrambi. -Pozdravljena.; Vidim te, brat, in zahvaljujem se ti.
 Jake, ne smeš tekati naokrog!; Zbudi se! Jake, zbudi se!
 To je prav čudno. -Dajmo.; Daj no, to je … –Nehajta.
 Ugašam luči, vidimo se pri večerji, mucke.; Tamle je. Se vidiva pri hangarjih.
 Dobrodošel nazaj.; Dobrodošel v novem telesu.
 Je vse v redu? -Dobro sem.; Si v redu? –Ja.
 Jaz sem Trudy, sem pilotka znanstvenikov.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.
