in_text	truth	pred	parascore-ref-based	parascore-ref-free
Frey je v 80-ih letih dosegel solo uspeh.	Frey je v osemdesetih letih dosegel solistični uspeh.	V osemdesetih letih je Frey dosegel tudi solistični uspeh.	0.893610553741455	0.7371751070022583
Frey je v 80-ih letih dosegel solo uspeh.	Frey je v osemdesetih letih dosegel solistični uspeh.	V osemdesetih letih je Frey dosegel tudi solistični uspeh.	0.893610553741455	0.7371751070022583
Frey je v 80-ih letih dosegel solo uspeh.	Frey je v osemdesetih letih dosegel solistični uspeh.	V osemdesetih letih je Frey dosegel tudi solistični uspeh.	0.893610553741455	0.7371751070022583
Kaj bodo naredili nadzorniki, pa je po njenih besedah njihova stvar.	Po njenih besedah je odvisno od nadzornikov, kaj bodo storili.	Po njenih besedah je odvisno od regulatorjev, kaj bodo storili.	0.9626382160186767	0.6592616438865662
Kaj bodo naredili nadzorniki, pa je po njenih besedah njihova stvar.	Po njenih besedah je odvisno od nadzornikov, kaj bodo storili.	Po njenih besedah je odvisno od regulatorjev, kaj bodo storili.	0.9626382160186767	0.6592616438865662
Kaj bodo naredili nadzorniki, pa je po njenih besedah njihova stvar.	Po njenih besedah je odvisno od nadzornikov, kaj bodo storili.	Po njenih besedah je odvisno od regulatorjev, kaj bodo storili.	0.9626382160186767	0.6592616438865662
Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Menili so, da sta z mostu skočila povezana, vendar je obdukcija pokazala, da na njunih telesih ni bilo znakov poškodb zaradi skoka s takšne višine, zato se zdaj sumi, da sta bila žrtvi kaznivega dejanja.	0.8073268536110999	0.8129336833953857
Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Menili so, da sta z mostu skočila povezana, vendar je obdukcija pokazala, da na njunih telesih ni bilo znakov poškodb zaradi skoka s takšne višine, zato se zdaj sumi, da sta bila žrtvi kaznivega dejanja.	0.8073268536110999	0.8129336833953857
Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Menili so, da sta z mostu skočila povezana, vendar je obdukcija pokazala, da na njunih telesih ni bilo znakov poškodb zaradi skoka s takšne višine, zato se zdaj sumi, da sta bila žrtvi kaznivega dejanja.	0.8073268536110999	0.8129336833953857
"Predloga za stečaj niso prejeli, so pa "" prepričani, da tovrstna odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije , da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja , po kateri hodi zadnjih 20 let."""	"Predloga za stečaj niso prejeli, ""vendar menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje, da namerava nadaljevati pot zlorabe prevladujočega položaja, ki jo je ubral v zadnjih 20 letih""."	"Predloga za stečaj niso prejeli, vendar ""menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje namero Telekoma Slovenije, da nadaljuje z zlorabo svojega prevladujočega tržnega položaja, ki jo je izvajal zadnjih 20 let""."	0.8110468315089353	0.8209679126739502
"Predloga za stečaj niso prejeli, so pa "" prepričani, da tovrstna odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije , da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja , po kateri hodi zadnjih 20 let."""	"Predloga za stečaj niso prejeli, ""vendar menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje, da namerava nadaljevati pot zlorabe prevladujočega položaja, ki jo je ubral v zadnjih 20 letih""."	"Predloga za stečaj niso prejeli, vendar ""menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje namero Telekoma Slovenije, da nadaljuje z zlorabo svojega prevladujočega tržnega položaja, ki jo je izvajal zadnjih 20 let""."	0.8110468315089353	0.8209679126739502
"Predloga za stečaj niso prejeli, so pa "" prepričani, da tovrstna odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije , da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja , po kateri hodi zadnjih 20 let."""	"Predloga za stečaj niso prejeli, ""vendar menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje, da namerava nadaljevati pot zlorabe prevladujočega položaja, ki jo je ubral v zadnjih 20 letih""."	"Predloga za stečaj niso prejeli, vendar ""menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje namero Telekoma Slovenije, da nadaljuje z zlorabo svojega prevladujočega tržnega položaja, ki jo je izvajal zadnjih 20 let""."	0.8110468315089353	0.8209679126739502
