in_text	truth	pred	parascore-ref-based	parascore-ref-free
Frey je v 80-ih letih dosegel solo uspeh.	Frey je v osemdesetih letih dosegel solistični uspeh.	Leta 1980 je Frey na dosežkih solo uspeha dosegel.	0.7242413926124572	0.7052972912788391
Frey je v 80-ih letih dosegel solo uspeh.	Frey je v osemdesetih letih dosegel solistični uspeh.	V svojih osemdesetih letih je Frey dobil solo uspeh.	0.7500149774551391	0.704319417476654
Frey je v 80-ih letih dosegel solo uspeh.	Frey je v osemdesetih letih dosegel solistični uspeh.	Frey je v osemdesetih letih dosegel solo uspeh.	0.9098469803760841	0.8936735987663269
Kaj bodo naredili nadzorniki, pa je po njenih besedah njihova stvar.	Po njenih besedah je odvisno od nadzornikov, kaj bodo storili.	Kaj nadzorniki bodo naredili, je po njenih besedah njihova stvar.	0.9335835842525257	0.9484192728996277
Kaj bodo naredili nadzorniki, pa je po njenih besedah njihova stvar.	Po njenih besedah je odvisno od nadzornikov, kaj bodo storili.	Kaj nadzorniki počnejo, pa je po njenih besedah stvar.	0.8322060871124267	0.8526037335395813
Kaj bodo naredili nadzorniki, pa je po njenih besedah njihova stvar.	Po njenih besedah je odvisno od nadzornikov, kaj bodo storili.	Kaj nadzorniki bodo storili, je po njenih besedah njihova stvar.	0.8696413640214615	0.8823715448379517
Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Po obdukciji so menili, da sta z mostu skočila skupaj in zvezana, vendar njuni trupli niso imeli znakov poškodb zaradi skoka s takšne višine, zato se zdaj soočajo s sumitvijo, da sta bila žrtvi kaznivega dejanja.	0.84054841537111	0.8426781296730042
Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Domnevali so, da sta skočila skupaj in zvezana, vendar obdukcija pokazala, da njuni trupli niso imeli znakov poškodb pri skoku s takšne višine, zato so zdaj pričakovali, da sta bili žrtvi kaznivega dejanja.	0.8743072244962696	0.8924014568328857
Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.	Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar obdukcija pokazala, da njuni trupli niso imeli nobenih znakov poškodb pri skoku s takšne višine, zato ju zdaj ločujejo, da sta bila žrtvi kaznivega dejanja.	0.9028926414752894	0.8957824110984802
"Predloga za stečaj niso prejeli, so pa "" prepričani, da tovrstna odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije , da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja , po kateri hodi zadnjih 20 let."""	"Predloga za stečaj niso prejeli, ""vendar menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje, da namerava nadaljevati pot zlorabe prevladujočega položaja, ki jo je ubral v zadnjih 20 letih""."	"Toda za zadržke niso prejeli: ""Glede na to, da ta odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije, da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja, po kateri se je zadnjih 20 let oglašala."""	0.8220635476200262	0.8136898875236511
"Predloga za stečaj niso prejeli, so pa "" prepričani, da tovrstna odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije , da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja , po kateri hodi zadnjih 20 let."""	"Predloga za stečaj niso prejeli, ""vendar menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje, da namerava nadaljevati pot zlorabe prevladujočega položaja, ki jo je ubral v zadnjih 20 letih""."	"Predloga za stečaj niso prejeli, vendar ""priznavajo, da ta odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije, da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja, po kateri je zadnjih 20 let hodila""."	0.87940958375755	0.8820431232452393
"Predloga za stečaj niso prejeli, so pa "" prepričani, da tovrstna odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije , da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja , po kateri hodi zadnjih 20 let."""	"Predloga za stečaj niso prejeli, ""vendar menijo, da ta odločitev Telekoma Slovenije potrjuje in dokazuje, da namerava nadaljevati pot zlorabe prevladujočega položaja, ki jo je ubral v zadnjih 20 letih""."	"Predloga za stečaj niso prejeli, so pa "" prepričani, da ta odločitev Telekoma Slovenije potrjuje in izkazuje namero Telekoma Slovenije, da vztraja na poti izkoriščanja zlorabe prevladujočega tržnega položaja, po kateri hodi zadnjih 20 let""."	0.9219939220885527	0.9345813393592834
Nihče ji ni ponudil konkretne pomoči, vendar je Zveza prijateljev mladine (ZPM) Ljubljana Moste- Polje poskrbela za hrano in vzpostavila stik z materjo dveh otrok.	Konkretne pomoči ji ni ponudil nihče, za hrano pa so nato poskrbeli v Zvezi prijateljev mladine ( ZPM) Ljubljana Moste- Polje , kjer so nas z mamo dveh otrok tudi povezali.	Nihče ji ni ponudil konkretne pomoči, a je Zveza prijateljev mladine (ZPM) Ljubljana Moste- Polje poskrbela za hrano in vzpostavila stik z mamo dvema dvema otrokoma.	0.882200979814901	0.8593997955322266
Nihče ji ni ponudil konkretne pomoči, vendar je Zveza prijateljev mladine (ZPM) Ljubljana Moste- Polje poskrbela za hrano in vzpostavila stik z materjo dveh otrok.	Konkretne pomoči ji ni ponudil nihče, za hrano pa so nato poskrbeli v Zvezi prijateljev mladine ( ZPM) Ljubljana Moste- Polje , kjer so nas z mamo dveh otrok tudi povezali.	Nihče ji ni ponudil konkretne pomoči, vendar je Zveza prijateljev mladine (ZPM) Ljubljana Moste- Polje poskrbela za hrano in vzpostavila stik z materjo dveh otrok.	0.95	0.949999988079071
Nihče ji ni ponudil konkretne pomoči, vendar je Zveza prijateljev mladine (ZPM) Ljubljana Moste- Polje poskrbela za hrano in vzpostavila stik z materjo dveh otrok.	Konkretne pomoči ji ni ponudil nihče, za hrano pa so nato poskrbeli v Zvezi prijateljev mladine ( ZPM) Ljubljana Moste- Polje , kjer so nas z mamo dveh otrok tudi povezali.	Nihče ji ni ponudil konkretne pomoči, vendar je Zveza prijateljev mladine (ZPM) Ljubljana Moste- Polje poskrbela za hrano in vzpostavila stik z materjo dveh otrok.	0.95	0.949999988079071
Splitska banka Societe Generale ima po podatkih iz delniške knjige zdaj v lasti skoraj 5 % Mercatorja.	Banka Société Générale s sedežem v Splitu ima po podatkih iz delniške knjige zdaj v lasti skoraj 5 % Mercatorja.	Po podatkih delniškega podjetja Mercator ima banka Societe Generale v Splitu v lasti skoraj 5 % Mercatorja.	0.7668959665298462	0.7647153735160828
Splitska banka Societe Generale ima po podatkih iz delniške knjige zdaj v lasti skoraj 5 % Mercatorja.	Banka Société Générale s sedežem v Splitu ima po podatkih iz delniške knjige zdaj v lasti skoraj 5 % Mercatorja.	Po podatkih delniške knjige ima Societe Generale v Splitu trenutno v lasti skoraj 5 % Mercatorja.	0.8488077092170715	0.8644917607307434
Splitska banka Societe Generale ima po podatkih iz delniške knjige zdaj v lasti skoraj 5 % Mercatorja.	Banka Société Générale s sedežem v Splitu ima po podatkih iz delniške knjige zdaj v lasti skoraj 5 % Mercatorja.	Po podatkih delniške knjige je Splitska banka od zdaj v lasti skoraj 5 % Mercatorja.	0.8378120231628418	0.8815563917160034
