sentence1	sentence2
Pripadala je človeku, ki sem ga spoznal v bežno pomnjenem snu.	Pripadala je človeku, ki sem ga spoznal v bežno pomnjenih sanjah.
Popolnoma izoblikovana, docela razumljena ideja, ostane.	Popolnoma izoblikovana, popolnoma razumljiva ideja, ostane.
-Da jo nekdo tebi podoben ukrade?	-Da jo nekdo kot ti ne ukrade?
G. Saito, lahko izurimo vašo podzavest, da se obrani celo najbolj veščega izvlačitelja.	G. Saito, lahko izurimo vašo podzavest, da se ubrani celo najbolj veščega izvlačitelja.
Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.	Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.
Menila sem, da me morda pogrešaš.	Mislila sem, da me morda pogrešaš.
Povej mi ... me otroka pogrešata?	Me otroka pogrešata?
Da si me prišel okrast, ali, da pravzaprav spimo?	Da si me prišel oropati, ali, da pravzaprav spimo?
Ampak, sanje so se sfižile.	Ampak, sanje so se zmešale.
Saita skušam še malce zadržati v snu.	Saita skušam še malce zadržati v spanju.
Onesvestil se je.	Izdal je.
-Ona ne bi nikdar ... Evo, pa smo tu.	-Ona ne bi nikdar... No, pa smo tu.
Vprašanje je, čemu ste nam sploh dopustili?	Vprašanje je, zakaj ste nam sploh dopustili?
Zato me pustite na miru.	Zato me pustite pri miru.
Zgleda, da ne razumete, gospod Saito.	Izgleda, da ne razumete, gospod Saito.
Zgleda, da bom moral opraviti nekoliko preprosteje.	Izgleda, da bom moral opraviti nekoliko preprosteje.
Nisem vedel, da bo drgnil svoj frdamani fris obnjo.	Nisem vedel, da bo drgnil svojo prekleto glavo ob njo.
Ej ti,kaj je bil to za en vrag?	Ej ti, kaj je bil to za en vrag?
Ne bi rad videl kako zgleda brez nadzora.	Nočem videti kako izgleda brez nadzora.
Kaj počneta, a?	Kaj počneta?
Lej, povedal sem ti.	Poglej, povedal sem ti.
Ni me, ker delam, ja?	Ni me, ker delam, v redu?
Zadosti, otroka.	Dovolj, otroka.
A si dobro?	Si dobro?
Blokada v sajah, pojavi se je Mal ...	Blokada v sajah, Mal se je pojavil...
Žal mi je zaradi tvoje noge.	Žal mi je zaradi tvoje noge, ne bo se ponovilo.
-Ti opravičilo ni zadosti, Arthur?	-Ti opravičilo ni dovolj, Arthur?
Je možna?	Je mogoča?
Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vsadil?	Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vstavil?
Prave inspiracije ni možno poneveriti.	Pravega navdiha ni možno poneveriti.
-Zadosti preprosta.	-Dovolj preprosta.
Nobena ni enostavna, če jo je treba nekomu vsaditi v um.	Nobena ni enostavna, če jo je treba nekomu vstaviti v um.
Torej ... hočete kreniti z vero, ali postati zagrenjen starec, čakajoč na samotno smrt?	Hočete kreniti z vero, ali postati zagrenjen starec, čakajoč na samotno smrt?
Lej, vem kako si želiš domov.	Vem, kako si želiš domov.
To ni možno izvesti.	To ni mogoče izvesti.
Čemu gremo v Pariz?	Zakaj gremo v Pariz?
Menim, da utegnejo najti način, da se v tvojem primeru sprovede.	Menim, da utegnejo najti način, da se v tvojem primeru to spremeni.
Glej ... tole sem ti prinesel, da ob priliki daš otrokoma.	Glej... to sem ti prinesel, da ob priliki daš otrokoma.
Več kot nagačena plišasta živalca bo treba, da ta otroka prepriča, da še imata očeta.	Več kot nagačena plišasta živalca bo potrebna, da se otroka prepričata, da še imata očeta.
Nikdar te nisem učil lopovstva.	Nikdar te nisem učil kraje.
-Ne, naučil si me upravljati človeški um, ampak tako je naneslo, da je bilo polno legitimnih načinov za koriščenje te veščine.	Ne, naučil si me upravljati človeški um, ampak po tem, kar se je zgodilo je bilo veliko legitimnih načinov za koriščenje te veščine.
-Prišel si izpridit enega majih najbistrejših in najboljših.	-Prišel si izpridit, enega mojih najbistrejših in najboljših.
Ne bi bil tule, če bi poznal kak drug način.	Ne bi bil tukaj, če bi poznal kakšen drug način.
Zavestno ustvariš vsak aspekt.	Zavestno ustvariš vsak vidik.
Kako naj pridobim zadosti detajlov, da bo ta svet smatral kot realnost?	Kako naj pridobim dovolj podrobnosti, da bo ta svet smatral kot realnost?
Bi rekla da.	Bi rekla, ja.
Obraz poln črepinj boli kot vrag.	Obraz poln stekla boli kot vrag.
»Deljene sanje« je program urjenja, da se vojaki streljajo, med sabo koljejo in davijo, nakar se prebudijo.	»Deljene sanje« je program urjenja, da se vojaki streljajo med sabo, pobijajo in davijo, ter se prebudijo.
Pet minut v resničnem svetu je ena ura v snu.	Pet minut v resničnem svetu je ena ura v spanju.
-Projekcija moje podzavesti.	-Predstavitev moje podzavesti.
Tak je eden od načina izvlačenja informacij iz subjekta.	Tak je eden od načina izvlačenja informacij iz predmeta.
Kako še ga izvajaš?	Kako ga še izvajaš?
Čudo, a ni?	Čudo, kajne?
Ja, je.	Ja, mislim da.
Bolj kot spreminjaš stvari, hitreje se jim projekcije zbližajo.	Bolj kot spreminjaš stvari, hitreje se jim predstavitve zbližajo.
Prima, a pravim ti, če boš še naprej takole spreminjala stvari ... Ježeš.	Super, a pravim ti, če boš še naprej takole spreminjala stvari... Ježeš.
Bi rekel svoji podzavesti, naj se malo brzda?	Bi rekel svoji podzavesti, naj se malo kontrolira?
Vedi, da je ne morem nadzorovati.	Vedeti moraš, da je ne morem nadzorovati.
Zelo impresivno.	Zelo prepričljivo.
Totem je majhen osebni ... -To ti je pa res neka podzavest, Cobb!	Totem je majhen osebni... -To je pa res neka podzavest, Cobb!
Nekaj, kar imaš stalno s seboj, česar nihče drug ne pozna.	Nekaj, kar imaš vedno s seboj, česar nihče drug ne pozna.
In, ko se bo vrnila ... ko se bo vrnila, ji daj graditi labirinte.	Ko se bo vrnila, ji daj graditi labirinte.
Preden mi zatežiš rekoč, da je nemogoča ... Ne, čisto mogoča je.	Preden me začneš nadlegovati rekoč, da je nemogoča... Ne, čisto mogoča je.
-Zato mi Arthur stalno tolmači da ni možna.	-Zato mi Arthur vedno tolmači da ni mogoča.
Probali smo.	Poskušali smo.
Vsadili smo idejo, ampak ni vzklila.	Vsadili smo idejo, ampak ni delovala.
A veš, rabiš najpreprostejšo verzijo ideje, da se ta naravno razvije v tvojih subjektih.	A veš, rabiš najpreprostejšo verzijo ideje, da se ta naravno razvije v tvojih predmetih.
Kakšna potlej je ideja, ki bi jo rad vsadil?	Kakšna je potem ideja, ki bi jo rad vsadil?
